"","ds","Global_reactive_power","y","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh","Voltage","Global_intensity","week"
"1",2006-12-16,34.922,20.1529333333333,0,0.546,4.926,14.6809333333333,236.243762626263,13.0828282828283,50
"2",2006-12-17,226.006,56.5076666666667,2.033,4.187,13.341,36.9466666666667,240.087027777778,9.99902777777778,51
"3",2006-12-18,161.792,36.7304333333333,1.063,2.621,14.018,19.0284333333333,241.231694444444,6.42166666666667,51
"4",2006-12-19,150.942,27.7699,0.839,7.602,6.197,13.1319,241.9993125,4.92638888888889,51
"5",2006-12-20,160.998,37.0958,0,2.648,14.063,20.3848,242.3080625,6.46736111111111,51
"6",2006-12-21,144.166,28.6185333333333,1.765,2.623,10.421,13.8095333333333,241.042284722222,5.02819444444444,51
"7",2006-12-22,186.906,39.0223,3.151,0.35,11.131,24.3903,241.184548611111,6.87291666666667,51
"8",2006-12-23,221.47,79.5564333333333,2.669,0.425,14.726,61.7364333333333,240.136076388889,14.0280555555556,51
"9",2006-12-24,149.9,42.5002,1.703,5.082,6.891,28.8242,241.6874375,7.64041666666667,52
"10",2006-12-25,240.28,45.7186666666667,6.62,1.962,5.795,31.3416666666667,243.399930555556,7.95152777777778,52
"11",2006-12-26,165.102,65.5685,1.086,2.533,14.979,46.9705,241.6254375,11.3479166666667,52
"12",2006-12-27,178.902,25.4793333333333,0,0.314,6.976,18.1893333333333,243.767361111111,4.5175,52
"13",2006-12-28,208.876,34.5439666666667,2.207,4.419,9.176,18.7419666666667,243.268333333333,6.08625,52
"14",2006-12-29,196.394,52.9065333333333,1.252,5.162,11.329,35.1635333333333,240.871305555556,9.27138888888889,52
"15",2006-12-30,312.756,46.6956333333333,3.148,7.929,12.516,23.1026333333333,240.536326388889,8.31708333333333,52
"16",2006-12-31,150.852,58.2366,0,0.347,6.502,51.3876,239.896576388889,10.1995833333333,53
"17",2007-01-01,148.166,45.8167333333333,0,0.352,5.88,39.5847333333333,240.128979166667,7.91694444444444,1
"18",2007-01-02,190.342,21.1539333333333,0,0.348,6.562,14.2439333333333,241.943777777778,3.71402777777778,1
"19",2007-01-03,196.728,16.9009,0,0.344,4.765,11.7919,243.557090277778,3.01402777777778,1
"20",2007-01-04,202.302,54.3235333333333,1.051,7.597,10.896,34.7795333333333,239.750298611111,9.47819444444444,1
"21",2007-01-05,173.154,45.2227333333333,1.483,0.379,7.602,35.7587333333333,240.495763888889,7.88513888888889,1
"22",2007-01-06,192.188,25.1396333333333,1.336,0.402,5.678,17.7236333333333,239.673055555556,4.54388888888889,1
"23",2007-01-07,246.074,40.7936666666667,1.987,8.177,12.81,17.8196666666667,240.902486111111,7.28263888888889,1
"24",2007-01-08,207.568,37.356,0,0.467,17.547,19.342,239.576951388889,6.55166666666667,2
"25",2007-01-09,207.248,31.1509,1.688,4.267,9.79,15.4059,240.487520833333,5.52111111111111,2
"26",2007-01-10,228.452,35.9133333333333,0.771,4.456,11.012,19.6743333333333,241.027451388889,6.35777777777778,2
"27",2007-01-11,230.02,37.5865666666667,1.378,2.17,12.415,21.6235666666667,241.1556875,6.65833333333333,2
"28",2007-01-12,199.14,24.3549333333333,0,0.439,8.276,15.6399333333333,241.538208333333,4.30916666666667,2
"29",2007-01-13,290.736,53.1135666666667,7.806,2.975,11.341,30.9915666666667,239.283611111111,9.45305555555556,2
"30",2007-01-14,227.432,50.1839666666667,1.777,4.215,12.991,31.2009666666667,238.818013888889,8.97166666666667,2
"31",2007-01-15,174.86,35.8113,1.099,2.239,15.163,17.3103,241.240909722222,6.26152777777778,3
"32",2007-01-16,185.428,28.1067333333333,2.063,0.644,6.583,18.8167333333333,241.944756944444,4.97597222222222,3
"33",2007-01-17,200.752,47.4614666666667,3.5,5.737,16.064,22.1604666666667,241.00525,8.28388888888889,3
"34",2007-01-18,177.712,30.3577,0,0.336,13.491,16.5307,240.893597222222,5.3425,3
"35",2007-01-19,170.052,24.674,2.103,0.33,7.172,15.069,240.160944444444,4.37625,3
"36",2007-01-20,238.362,52.2288666666667,4.324,5.222,11.44,31.2428666666667,238.867472222222,9.34805555555556,3
"37",2007-01-21,229.736,56.7877,10.346,5.567,11.599,29.2757,238.968118055556,10.1906944444444,3
"38",2007-01-22,168.642,36.3415666666667,1.054,2.983,11.361,20.9435666666667,241.603131944444,6.35527777777778,4
"39",2007-01-23,138.28,29.6273333333333,0,1.064,5.061,23.5023333333333,242.762555555556,5.26083333333333,4
"40",2007-01-24,178.06,49.7975666666667,3.464,2.48,11.744,32.1095666666667,241.457694444444,8.73361111111111,4
"41",2007-01-25,144.16,26.6057333333333,1.158,0.262,11.239,13.9467333333333,243.424361111111,4.62930555555556,4
"42",2007-01-26,142.902,26.9662,1.163,0.261,8.238,17.3042,242.771791666667,4.72138888888889,4
"43",2007-01-27,148.242,34.0678666666667,1.17,3.896,12.374,16.6278666666667,241.616569444444,5.94986111111111,4
"44",2007-01-28,153.606,51.5391666666667,3.466,3.997,12.062,32.0141666666667,240.302118055556,9.13361111111111,4
"45",2007-01-29,165.696,33.0444,1.123,0.294,15.254,16.3734,240.929597222222,5.78888888888889,5
"46",2007-01-30,180.934,28.4633,1.123,1.424,8.149,17.7673,241.840875,5.02819444444444,5
"47",2007-01-31,185.988,39.3958666666667,0,5.95,15.052,18.3938666666667,239.921131944444,6.92361111111111,5
"48",2007-02-01,150.264,30.4126666666667,1.17,0.386,13.145,15.7116666666667,240.392138888889,5.3325,5
"49",2007-02-02,139.542,27.7956,0,0.356,11.338,16.1016,240.334388888889,4.87083333333333,5
"50",2007-02-03,245.824,67.1620333333333,4.746,4.573,17.834,40.0090333333333,238.910194444444,11.8159722222222,5
"51",2007-02-04,186.494,59.9323333333333,3.391,4.597,14.472,37.4723333333333,239.633333333333,10.5654166666667,5
"52",2007-02-05,147.228,27.4213333333333,0.896,2.564,7.849,16.1123333333333,240.8103125,4.82041666666667,6
"53",2007-02-06,142.566,21.2246666666667,1.185,0.405,4.517,15.1176666666667,241.264159722222,3.77194444444444,6
"54",2007-02-07,177.708,38.8003,3.299,3.513,11.986,20.0023,241.149694444444,6.79166666666667,6
"55",2007-02-08,138.896,30.0235666666667,2.226,0.366,10.157,17.2745666666667,241.797305555556,5.24833333333333,6
"56",2007-02-09,158.066,27.0033,0,3.045,9.77,14.1883,241.740444444444,4.72722222222222,6
"57",2007-02-10,192.974,47.1554666666667,5.071,2.831,14.405,24.8484666666667,240.036826388889,8.30375,6
"58",2007-02-11,204.314,59.5204666666667,2.43,4.765,13.114,39.2114666666667,239.506145833333,10.5268055555556,6
"59",2007-02-12,136.704,31.2935,2.227,0.399,11.517,17.1505,240.0985,5.50347222222222,7
