"","Date","Day_week","month","Year","MonthYear","Global_reactive_power","Global_active_power_kwh","Voltage","Global_intensity","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh"
"1",2006-12-16,"Saturday",12,2006,"12 - 2006",34.922,20.1529333333333,236.243762626263,13.0828282828283,0,0.546,4.926,14.6809333333333
"2",2006-12-17,"Sunday",12,2006,"12 - 2006",226.006,56.5076666666667,240.087027777778,9.99902777777778,2.033,4.187,13.341,36.9466666666667
"3",2006-12-18,"Monday",12,2006,"12 - 2006",161.792,36.7304333333333,241.231694444444,6.42166666666667,1.063,2.621,14.018,19.0284333333333
"4",2006-12-19,"Tuesday",12,2006,"12 - 2006",150.942,27.7699,241.9993125,4.92638888888889,0.839,7.602,6.197,13.1319
"5",2006-12-20,"Wednesday",12,2006,"12 - 2006",160.998,37.0958,242.3080625,6.46736111111111,0,2.648,14.063,20.3848
"6",2006-12-21,"Thursday",12,2006,"12 - 2006",144.166,28.6104,241.040549374131,5.03379694019471,1.765,2.623,10.421,13.8014
"7",2006-12-22,"Friday",12,2006,"12 - 2006",186.906,39.0223,241.184548611111,6.87291666666667,3.151,0.35,11.131,24.3903
"8",2006-12-23,"Saturday",12,2006,"12 - 2006",221.47,79.5564333333333,240.136076388889,14.0280555555556,2.669,0.425,14.726,61.7364333333333
"9",2006-12-24,"Sunday",12,2006,"12 - 2006",149.9,42.5002,241.6874375,7.64041666666667,1.703,5.082,6.891,28.8242
"10",2006-12-25,"Monday",12,2006,"12 - 2006",240.28,45.7186666666667,243.399930555556,7.95152777777778,6.62,1.962,5.795,31.3416666666667
"11",2006-12-26,"Tuesday",12,2006,"12 - 2006",165.102,65.5685,241.6254375,11.3479166666667,1.086,2.533,14.979,46.9705
"12",2006-12-27,"Wednesday",12,2006,"12 - 2006",178.902,25.4793333333333,243.767361111111,4.5175,0,0.314,6.976,18.1893333333333
"13",2006-12-28,"Thursday",12,2006,"12 - 2006",208.876,34.5439666666667,243.268333333333,6.08625,2.207,4.419,9.176,18.7419666666667
"14",2006-12-29,"Friday",12,2006,"12 - 2006",196.394,52.9065333333333,240.871305555556,9.27138888888889,1.252,5.162,11.329,35.1635333333333
"15",2006-12-30,"Saturday",12,2006,"12 - 2006",311.928,46.4883666666667,240.540688456189,8.29221140472879,3.072,7.891,12.48,23.0453666666667
"16",2006-12-31,"Sunday",12,2006,"12 - 2006",150.852,58.2366,239.896576388889,10.1995833333333,0,0.347,6.502,51.3876
"17",2007-01-01,"Monday",1,2007,"1 - 2007",148.166,45.8167333333333,240.128979166667,7.91694444444444,0,0.352,5.88,39.5847333333333
"18",2007-01-02,"Tuesday",1,2007,"1 - 2007",190.342,21.1539333333333,241.943777777778,3.71402777777778,0,0.348,6.562,14.2439333333333
"19",2007-01-03,"Wednesday",1,2007,"1 - 2007",196.728,16.9009,243.557090277778,3.01402777777778,0,0.344,4.765,11.7919
"20",2007-01-04,"Thursday",1,2007,"1 - 2007",202.302,54.3235333333333,239.750298611111,9.47819444444444,1.051,7.597,10.896,34.7795333333333
"21",2007-01-05,"Friday",1,2007,"1 - 2007",173.154,45.2227333333333,240.495763888889,7.88513888888889,1.483,0.379,7.602,35.7587333333333
"22",2007-01-06,"Saturday",1,2007,"1 - 2007",192.188,25.1396333333333,239.673055555556,4.54388888888889,1.336,0.402,5.678,17.7236333333333
"23",2007-01-07,"Sunday",1,2007,"1 - 2007",246.074,40.7936666666667,240.902486111111,7.28263888888889,1.987,8.177,12.81,17.8196666666667
"24",2007-01-08,"Monday",1,2007,"1 - 2007",207.568,37.356,239.576951388889,6.55166666666667,0,0.467,17.547,19.342
"25",2007-01-09,"Tuesday",1,2007,"1 - 2007",207.248,31.1509,240.487520833333,5.52111111111111,1.688,4.267,9.79,15.4059
"26",2007-01-10,"Wednesday",1,2007,"1 - 2007",228.452,35.9133333333333,241.027451388889,6.35777777777778,0.771,4.456,11.012,19.6743333333333
"27",2007-01-11,"Thursday",1,2007,"1 - 2007",230.02,37.5865666666667,241.1556875,6.65833333333333,1.378,2.17,12.415,21.6235666666667
"28",2007-01-12,"Friday",1,2007,"1 - 2007",199.14,24.3549333333333,241.538208333333,4.30916666666667,0,0.439,8.276,15.6399333333333
"29",2007-01-13,"Saturday",1,2007,"1 - 2007",290.736,53.1135666666667,239.283611111111,9.45305555555556,7.806,2.975,11.341,30.9915666666667
"30",2007-01-14,"Sunday",1,2007,"1 - 2007",227.12,50.1302666666667,238.821848505907,8.96831132731063,1.777,4.215,12.975,31.1632666666667
"31",2007-01-15,"Monday",1,2007,"1 - 2007",174.86,35.8113,241.240909722222,6.26152777777778,1.099,2.239,15.163,17.3103
"32",2007-01-16,"Tuesday",1,2007,"1 - 2007",185.428,28.1067333333333,241.944756944444,4.97597222222222,2.063,0.644,6.583,18.8167333333333
"33",2007-01-17,"Wednesday",1,2007,"1 - 2007",200.752,47.4614666666667,241.00525,8.28388888888889,3.5,5.737,16.064,22.1604666666667
"34",2007-01-18,"Thursday",1,2007,"1 - 2007",177.712,30.3577,240.893597222222,5.3425,0,0.336,13.491,16.5307
"35",2007-01-19,"Friday",1,2007,"1 - 2007",170.052,24.674,240.160944444444,4.37625,2.103,0.33,7.172,15.069
"36",2007-01-20,"Saturday",1,2007,"1 - 2007",238.362,52.2288666666667,238.867472222222,9.34805555555556,4.324,5.222,11.44,31.2428666666667
"37",2007-01-21,"Sunday",1,2007,"1 - 2007",229.736,56.7877,238.968118055556,10.1906944444444,10.346,5.567,11.599,29.2757
"38",2007-01-22,"Monday",1,2007,"1 - 2007",168.642,36.3415666666667,241.603131944444,6.35527777777778,1.054,2.983,11.361,20.9435666666667
"39",2007-01-23,"Tuesday",1,2007,"1 - 2007",138.28,29.6273333333333,242.762555555556,5.26083333333333,0,1.064,5.061,23.5023333333333
"40",2007-01-24,"Wednesday",1,2007,"1 - 2007",178.06,49.7975666666667,241.457694444444,8.73361111111111,3.464,2.48,11.744,32.1095666666667
"41",2007-01-25,"Thursday",1,2007,"1 - 2007",144.16,26.6057333333333,243.424361111111,4.62930555555556,1.158,0.262,11.239,13.9467333333333
"42",2007-01-26,"Friday",1,2007,"1 - 2007",142.902,26.9662,242.771791666667,4.72138888888889,1.163,0.261,8.238,17.3042
"43",2007-01-27,"Saturday",1,2007,"1 - 2007",148.242,34.0678666666667,241.616569444444,5.94986111111111,1.17,3.896,12.374,16.6278666666667
"44",2007-01-28,"Sunday",1,2007,"1 - 2007",153.352,51.5034,240.304788047255,9.13370396108409,3.466,3.997,12.045,31.9954
"45",2007-01-29,"Monday",1,2007,"1 - 2007",165.696,33.0444,240.929597222222,5.78888888888889,1.123,0.294,15.254,16.3734
"46",2007-01-30,"Tuesday",1,2007,"1 - 2007",180.934,28.4633,241.840875,5.02819444444444,1.123,1.424,8.149,17.7673
"47",2007-01-31,"Wednesday",1,2007,"1 - 2007",185.988,39.3958666666667,239.921131944444,6.92361111111111,0,5.95,15.052,18.3938666666667
"48",2007-02-01,"Thursday",2,2007,"2 - 2007",150.264,30.4126666666667,240.392138888889,5.3325,1.17,0.386,13.145,15.7116666666667
"49",2007-02-02,"Friday",2,2007,"2 - 2007",139.542,27.7956,240.334388888889,4.87083333333333,0,0.356,11.338,16.1016
"50",2007-02-03,"Saturday",2,2007,"2 - 2007",245.824,67.1620333333333,238.910194444444,11.8159722222222,4.746,4.573,17.834,40.0090333333333
"51",2007-02-04,"Sunday",2,2007,"2 - 2007",186.494,59.9323333333333,239.633333333333,10.5654166666667,3.391,4.597,14.472,37.4723333333333
"52",2007-02-05,"Monday",2,2007,"2 - 2007",147.228,27.4213333333333,240.8103125,4.82041666666667,0.896,2.564,7.849,16.1123333333333
"53",2007-02-06,"Tuesday",2,2007,"2 - 2007",142.566,21.2246666666667,241.264159722222,3.77194444444444,1.185,0.405,4.517,15.1176666666667
"54",2007-02-07,"Wednesday",2,2007,"2 - 2007",177.708,38.8003,241.149694444444,6.79166666666667,3.299,3.513,11.986,20.0023
"55",2007-02-08,"Thursday",2,2007,"2 - 2007",138.896,30.0235666666667,241.797305555556,5.24833333333333,2.226,0.366,10.157,17.2745666666667
"56",2007-02-09,"Friday",2,2007,"2 - 2007",158.066,27.0033,241.740444444444,4.72722222222222,0,3.045,9.77,14.1883
"57",2007-02-10,"Saturday",2,2007,"2 - 2007",192.974,47.1554666666667,240.036826388889,8.30375,5.071,2.831,14.405,24.8484666666667
"58",2007-02-11,"Sunday",2,2007,"2 - 2007",204.314,59.5204666666667,239.506145833333,10.5268055555556,2.43,4.765,13.114,39.2114666666667
"59",2007-02-12,"Monday",2,2007,"2 - 2007",136.704,31.2935,240.0985,5.50347222222222,2.227,0.399,11.517,17.1505
"60",2007-02-13,"Tuesday",2,2007,"2 - 2007",134.678,23.5757666666667,241.166854166667,4.14375,0,2.828,6.256,14.4917666666667
"61",2007-02-14,"Wednesday",2,2007,"2 - 2007",202.506,41.6445333333333,240.375388888889,7.31513888888889,3.295,3.793,11.579,22.9775333333333
"62",2007-02-15,"Thursday",2,2007,"2 - 2007",165.964,33.0891,240.669222222222,5.82027777777778,0,2.363,14.028,16.6981
"63",2007-02-16,"Friday",2,2007,"2 - 2007",151.686,28.3754666666667,240.820944444444,5.04652777777778,1.148,0.859,8.689,17.6794666666667
"64",2007-02-17,"Saturday",2,2007,"2 - 2007",238.968,34.6152,239.316034722222,6.12916666666667,1.765,2.226,7.157,23.4672
"65",2007-02-18,"Sunday",2,2007,"2 - 2007",255.522,63.8293666666667,239.170805555556,11.2388888888889,6.107,8.003,13.129,36.5903666666667
"66",2007-02-19,"Monday",2,2007,"2 - 2007",176.584,36.4435666666667,239.789583333333,6.44222222222222,1.634,2.9,13.085,18.8245666666667
"67",2007-02-20,"Tuesday",2,2007,"2 - 2007",187.158,52.4988,239.865444444444,9.16847222222222,2.058,5.191,9.713,35.5368
"68",2007-02-21,"Wednesday",2,2007,"2 - 2007",189.87,34.5479,240.460965277778,6.07444444444444,3.527,2.332,11.548,17.1409
"69",2007-02-22,"Thursday",2,2007,"2 - 2007",137.954,56.1579666666667,238.623539638387,9.87079276773296,1.409,4.129,12.251,38.3689666666667
"70",2007-02-23,"Friday",2,2007,"2 - 2007",149.344,21.8913333333333,240.685965277778,3.82541666666667,0,0.503,10.786,10.6023333333333
"71",2007-02-24,"Saturday",2,2007,"2 - 2007",122.202,11.9153666666667,239.863104166667,2.08583333333333,0,0.363,3.562,7.99036666666667
"72",2007-02-25,"Sunday",2,2007,"2 - 2007",113.736,8.36233333333333,241.681548611111,1.46222222222222,0,0.329,1.66,6.37333333333333
"73",2007-02-26,"Monday",2,2007,"2 - 2007",108.28,9.47473333333333,241.273590277778,1.65888888888889,0,0.331,2.83,6.31373333333333
"74",2007-02-27,"Tuesday",2,2007,"2 - 2007",113.204,8.6352,242.944270833333,1.52458333333333,0,0.314,1.924,6.3972
"75",2007-02-28,"Wednesday",2,2007,"2 - 2007",113.372,8.67956666666667,242.159590277778,1.52847222222222,0,0.34,1.973,6.36656666666667
"76",2007-03-01,"Thursday",3,2007,"3 - 2007",107.628,8.62606666666667,241.321402777778,1.50888888888889,0,0.316,1.98,6.33006666666667
"77",2007-03-02,"Friday",3,2007,"3 - 2007",107.008,8.5948,240.591597222222,1.50680555555556,0,0.34,1.969,6.2858
"78",2007-03-03,"Saturday",3,2007,"3 - 2007",134.992,13.6520333333333,241.288083333333,2.40111111111111,0,0.347,4.597,8.70803333333333
"79",2007-03-04,"Sunday",3,2007,"3 - 2007",175.682,34.845,240.029798611111,6.15819444444444,1.476,8.711,9.408,15.25
"80",2007-03-05,"Monday",3,2007,"3 - 2007",205.956,44.3388666666667,240.030909722222,7.84027777777778,5.727,12.109,10.026,16.4768666666667
"81",2007-03-06,"Tuesday",3,2007,"3 - 2007",186.148,20.775,240.988069444444,3.69569444444444,0,1.74,4.7,14.335
"82",2007-03-07,"Wednesday",3,2007,"3 - 2007",171.2,39.5867666666667,240.3235625,6.935,1.076,4.761,15.513,18.2367666666667
"83",2007-03-08,"Thursday",3,2007,"3 - 2007",187.404,26.2022,240.665423611111,4.66513888888889,2.18,3.385,6.655,13.9822
"84",2007-03-09,"Friday",3,2007,"3 - 2007",119.238,21.2102,240.888465277778,3.73125,1.093,0.345,8.631,11.1412
"85",2007-03-10,"Saturday",3,2007,"3 - 2007",243.528,41.4118666666667,239.802833333333,7.34194444444444,4.13,5.422,10.979,20.8808666666667
"86",2007-03-11,"Sunday",3,2007,"3 - 2007",173.374,58.0106,240.007291666667,10.1215277777778,4.81,3.42,9.5,40.2806
"87",2007-03-12,"Monday",3,2007,"3 - 2007",134.422,32.5111333333333,240.558715277778,5.72847222222222,1.403,2.841,12.353,15.9141333333333
"88",2007-03-13,"Tuesday",3,2007,"3 - 2007",126.718,21.5024,240.897965277778,3.80569444444444,1.35,3.859,5.323,10.9704
"89",2007-03-14,"Wednesday",3,2007,"3 - 2007",157.522,29.8894,240.777291666667,5.2675,3.485,0.48,8.607,17.3174
"90",2007-03-15,"Thursday",3,2007,"3 - 2007",159.326,31.4135666666667,240.280493055556,5.52319444444444,0,3.263,11.036,17.1145666666667
"91",2007-03-16,"Friday",3,2007,"3 - 2007",130.208,28.3675666666667,239.527131944444,4.99236111111111,1.106,4.604,5.37,17.2875666666667
"92",2007-03-17,"Saturday",3,2007,"3 - 2007",127.068,33.8015,238.224652777778,5.94611111111111,2.208,0.359,12.275,18.9595
"93",2007-03-18,"Sunday",3,2007,"3 - 2007",241.45,39.5174333333333,241.047819444444,7.00791666666667,6.564,7.369,5.856,19.7284333333333
"94",2007-03-19,"Monday",3,2007,"3 - 2007",144.764,35.8753,240.497090277778,6.28194444444444,1.648,2.686,14.118,17.4233
"95",2007-03-20,"Tuesday",3,2007,"3 - 2007",164.87,34.7704666666667,240.815638888889,6.15125,3.745,2.837,11.255,16.9334666666667
