"","ds","Global_reactive_power","y","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh","Voltage","Global_intensity"
"1",50,34.922,20.1529333333333,0,0.546,4.926,14.6809333333333,236.243762626263,13.0828282828283
"2",51,226.006,56.5076666666667,2.033,4.187,13.341,36.9466666666667,240.087027777778,9.99902777777778
"3",51,161.792,36.7304333333333,1.063,2.621,14.018,19.0284333333333,241.231694444444,6.42166666666667
"4",51,150.942,27.7699,0.839,7.602,6.197,13.1319,241.9993125,4.92638888888889
"5",51,160.998,37.0958,0,2.648,14.063,20.3848,242.3080625,6.46736111111111
"6",51,144.166,28.6185333333333,1.765,2.623,10.421,13.8095333333333,241.042284722222,5.02819444444444
"7",51,186.906,39.0223,3.151,0.35,11.131,24.3903,241.184548611111,6.87291666666667
"8",51,221.47,79.5564333333333,2.669,0.425,14.726,61.7364333333333,240.136076388889,14.0280555555556
"9",52,149.9,42.5002,1.703,5.082,6.891,28.8242,241.6874375,7.64041666666667
"10",52,240.28,45.7186666666667,6.62,1.962,5.795,31.3416666666667,243.399930555556,7.95152777777778
"11",52,165.102,65.5685,1.086,2.533,14.979,46.9705,241.6254375,11.3479166666667
"12",52,178.902,25.4793333333333,0,0.314,6.976,18.1893333333333,243.767361111111,4.5175
"13",52,208.876,34.5439666666667,2.207,4.419,9.176,18.7419666666667,243.268333333333,6.08625
"14",52,196.394,52.9065333333333,1.252,5.162,11.329,35.1635333333333,240.871305555556,9.27138888888889
"15",52,312.756,46.6956333333333,3.148,7.929,12.516,23.1026333333333,240.536326388889,8.31708333333333
"16",53,150.852,58.2366,0,0.347,6.502,51.3876,239.896576388889,10.1995833333333
"17",1,148.166,45.8167333333333,0,0.352,5.88,39.5847333333333,240.128979166667,7.91694444444444
"18",1,190.342,21.1539333333333,0,0.348,6.562,14.2439333333333,241.943777777778,3.71402777777778
"19",1,196.728,16.9009,0,0.344,4.765,11.7919,243.557090277778,3.01402777777778
